id,name_key,category,condition_type,source,source_id,threshold,hidden
achievement_first_finish,ui.achievement.firstFinish,career,reach,milestone,milestone_first_finish,1,0
achievement_first_point,ui.achievement.firstPoint,career,reach,milestone,milestone_first_point,1,0
achievement_first_podium,ui.achievement.firstPodium,career,reach,milestone,milestone_first_podium,1,0
achievement_first_gp_win,ui.achievement.firstGpWin,career,reach,milestone,milestone_first_gp_win,1,0
achievement_first_tour_win,ui.achievement.firstTourWin,career,reach,milestone,milestone_first_tour_win,1,0
achievement_season_champion,ui.achievement.seasonChampion,career,reach,milestone,milestone_season_champion,1,0
achievement_double_champion,ui.achievement.doubleChampion,career,reach,career_stat,epilogue_reached,1,0
achievement_grand_slam,ui.achievement.grandSlam,career,reach,career_stat,tour_sweeps,1,0
achievement_perfect_season,ui.achievement.perfectSeason,career,reach,career_stat,season_sweeps,1,0
achievement_all_circuits,ui.achievement.allCircuits,career,cumulative,career_stat,circuits_won,20,0
achievement_beat_lorentz,ui.achievement.beatLorentz,rival,reach,milestone,milestone_beat_lorentz,1,0
achievement_beat_maro,ui.achievement.beatMaro,rival,reach,milestone,milestone_beat_maro,1,0
achievement_beat_diaz,ui.achievement.beatDiaz,rival,reach,milestone,milestone_beat_diaz,1,0
achievement_beat_volkova,ui.achievement.beatVolkova,rival,reach,milestone,milestone_beat_volkova,1,0
achievement_beat_holloway,ui.achievement.beatHolloway,rival,reach,milestone,milestone_beat_holloway,1,0
achievement_beat_bianca,ui.achievement.beatBianca,rival,reach,milestone,milestone_beat_bianca,1,0
achievement_beat_sherwood,ui.achievement.beatSherwood,rival,reach,milestone,milestone_beat_sherwood,1,0
achievement_beat_jude,ui.achievement.beatJude,rival,reach,milestone,milestone_beat_jude,1,0
achievement_beat_lorentz_gp,ui.achievement.beatLorentzGp,rival,reach,milestone,milestone_lorentz_beat,1,0
achievement_relation_throne,ui.achievement.relationThrone,rival,reach,relation,relation_throne,3,1
achievement_relation_reunion,ui.achievement.relationReunion,rival,reach,relation,relation_reunion,3,1
achievement_relation_kinship,ui.achievement.relationKinship,rival,reach,relation,relation_kinship,3,1
achievement_relation_succession,ui.achievement.relationSuccession,rival,reach,relation,relation_succession,3,1
achievement_relation_succession_maro,ui.achievement.relationSuccessionMaro,rival,reach,relation,relation_succession_maro,3,1
achievement_first_duel_win,ui.achievement.firstDuelWin,driving,cumulative,career_stat,duel_wins,1,0
achievement_duel_10_wins,ui.achievement.duel10Wins,driving,cumulative,career_stat,duel_wins,10,0
achievement_clean_gp,ui.achievement.cleanGp,driving,reach,career_stat,clean_gps,1,0
achievement_chance_three_match,ui.achievement.chanceThreeMatch,driving,reach,career_stat,chance_three_matches,1,0
achievement_no_intervention_win,ui.achievement.noInterventionWin,driving,reach,career_stat,no_intervention_wins,1,0
achievement_final_lap_comeback,ui.achievement.finalLapComeback,driving,reach,career_stat,final_lap_comebacks,1,0
achievement_crew_complete,ui.achievement.crewComplete,garage,reach,state,crew_count,5,0
achievement_all_skills,ui.achievement.allSkills,garage,reach,state,skill_count,16,0
achievement_deck_slots_5,ui.achievement.deckSlots5,garage,reach,state,deck_slots,5,0
achievement_all_facilities,ui.achievement.allFacilities,garage,reach,state,facility_count,4,0
achievement_rival_files,ui.achievement.rivalFiles,archive,cumulative,career_stat,named_beats,8,0
achievement_l3_throne,ui.achievement.l3Throne,discovery,discovery,discovery,cg_01_throne,1,1
achievement_l3_reunion,ui.achievement.l3Reunion,discovery,discovery,discovery,cg_02_reunion,1,1
achievement_l3_kinship,ui.achievement.l3Kinship,discovery,discovery,discovery,cg_03_kinship,1,1
achievement_scripted_p2,ui.achievement.scriptedP2,discovery,discovery,career_stat,scripted_loss_p2,1,1
