id,value
param_gauge_full_threshold,100
param_gauge_front_resist_base,3.0
param_gauge_front_resist_pace_coef,1.5
param_gauge_rear_pressure_base,2.0
param_gauge_rear_pressure_aggr_coef,2.2
param_gauge_momentum_bonus,5
param_gauge_final_lap_mult,1.2
param_charge_cap,10
param_charge_stable_sector,1
param_charge_duel_win,3
param_charge_hold_cost,1
param_charge_negate_cost,2
param_charge_boost_per_judgment,10
param_charge_boost_max,4
param_chassis_max,100
param_chassis_duel_fail_penalty,5
param_chassis_warn_ratio,0.25
param_timer_base_sec,10
param_timer_leeway_ratio,0.6
param_timer_warning_ratio,0.3
param_time_turn_sec,21
param_time_duel_sec,45
param_time_wrapup_sec,225
param_duel_overtake_base,35
param_duel_overtake_stability_coef,4.5
param_duel_defense_base,30
param_duel_defense_aggression_coef,5
param_duel_grid_level_coef,3
param_ai_swap_min,0.010
param_ai_swap_base,0.055
param_ai_swap_pace_coef,0.045
param_ai_retire_stability_coef,0.025
param_ai_retire_const,0.002
param_ai_retire_gp_cap,2
param_filler_stat_var,0.5
param_form_var_filler,0.3
param_reel_stop_interval_sec,0.4
param_grid_start_mod_coef,0.5
param_chassis_hazard_per_turn,1.0
param_grid_level_pace_add,0.4
param_save_profile_count,3
param_time_pacing_beat_sec,1.0
param_event_trigger_probability,0.80
param_event_cooldown_judgments,3
param_event_rank_adjacency,2
param_repair_field_cap,30
param_pacing_beat_max_sec,2.5
param_pacing_beat_probability,0.40
param_closerace_gauge_threshold,70
param_tour_dropout_s4_ratio,0.5
param_grid_level_step,1
param_prize_base_cr,300
param_prize_per_tour_point_cr,100
param_finish_bonus_cr,200
param_tour_finish_bonus_cr,600
param_tour_finish_bonus_dp,45
param_repair_base_cr,200
param_repair_escalation,1.5
param_repair_season_rank_coef,0.06
param_repair_full_cr_per_ch,20
param_repair_free_restore_line,70
param_tuning_refund_ratio,0.8
param_tuning_max_step,5
param_consumable_carry_cap,2
param_charge_exchange_cap,5
param_charge_exchange_cr,20
param_deck_slots_start,2
param_deck_slots_max,5
param_deck_expand_dp1,70
param_deck_expand_dp2,110
param_deck_expand_dp3,160
param_hold_total_cap_per_turn,2
param_sponsor_slots_base,1
param_sponsor_slots_with_g4,2
param_vane_stage2_dp,290
param_vane_stage3_dp,820
param_parts_cap_per_line,0.1
param_parts_cap_total,0.2
param_vn_season_cap,15
param_vn_milestone_cap,8
param_confirm_lockout_sec,0.3
param_log_slot_cap,4
param_font_size_body,9
param_font_size_head,14
param_scene_panel_height_px,100
param_vane_amp_stage1,1.0
param_vane_amp_stage2,0.7
param_vane_amp_stage3,0.4
param_opt_volume_default,80
param_opt_volume_step,10
param_opt_timer_mult_1,1.5
param_opt_timer_mult_2,2.0
param_opt_reel_fast_mult,0.5
param_pause_countin_sec,3
param_fx_reduced_mult,0.5
param_fx_shake_weak_px,2
param_fx_shake_strong_px,4
param_fx_shake_sec,0.25
param_fx_flash_alpha,0.35
param_fx_flash_sec,0.25
param_fx_gauge_pulse_sec,0.4
param_fx_duel_result_hold_sec,0.6
param_fx_save_hold_sec,2.0
param_fx_save_spin_sec,1.0
param_duel_wall_threshold_add,6
param_consumable_shield_mult,0.5
param_jude_adjacent_max,2
param_audio_default_volume,80
param_audio_duck_db,-6
param_audio_duck_return_sec,0.3
param_audio_crossfade_sec,0.8
param_sting_l1_sec,0.8
param_sting_l2_sec,1.5
param_sting_l3_sec,2.5
param_haptic_damp_ratio,0.5
param_haptic_l1_sec,0.1
param_haptic_l2_sec,0.25
param_cheer_retrigger_sec,4
param_audio_virtual_channels,12
param_audio_retrigger_gate_sec,0.05
