id,category_id,name_key,scope,body_key
event_temp_pit_open,category_c1,ui.event.tempPitOpen,common,ui.eventBody.tempPitOpen
event_scrap_recovery,category_c1,ui.event.scrapRecovery,common,ui.eventBody.scrapRecovery
event_theo_allnighter,category_c1,ui.event.theoAllnighter,common,ui.eventBody.theoAllnighter
event_surface_data,category_c1,ui.event.surfaceData,common,ui.eventBody.surfaceData
event_used_parts_market,category_c1,ui.event.usedPartsMarket,common,ui.eventBody.usedPartsMarket
event_control_access,category_c1,ui.event.controlAccess,common,ui.eventBody.controlAccess
event_exposure_deal,category_c2,ui.event.exposureDeal,common,ui.eventBody.exposureDeal
event_fan_signing,category_c2,ui.event.fanSigning,common,ui.eventBody.fanSigning
event_shoot_support,category_c2,ui.event.shootSupport,common,ui.eventBody.shootSupport
event_league_raffle,category_c2,ui.event.leagueRaffle,common,ui.eventBody.leagueRaffle
event_media_column,category_c2,ui.event.mediaColumn,common,ui.eventBody.mediaColumn
event_expo_sponsor,category_c2,ui.event.expoSponsor,common,ui.eventBody.expoSponsor
event_paddock_encounter,category_c3,ui.event.paddockEncounter,common,ui.eventBody.paddockEncounter
event_rank_friction,category_c3,ui.event.rankFriction,common,ui.eventBody.rankFriction
event_duel_recall,category_c3,ui.event.duelRecall,common,ui.eventBody.duelRecall
event_veteran_advice,category_c3,ui.event.veteranAdvice,common,ui.eventBody.veteranAdvice
event_successor_gaze,category_c3,ui.event.successorGaze,common,ui.eventBody.successorGaze
event_number_two_check,category_c3,ui.event.numberTwoCheck,common,ui.eventBody.numberTwoCheck
event_crew_chatter,category_c3,ui.event.crewChatter,common,ui.eventBody.crewChatter
event_team_dinner,category_c3,ui.event.teamDinner,common,ui.eventBody.teamDinner
event_weather_brief,category_c4,ui.event.weatherBrief,common,ui.eventBody.weatherBrief
event_circuit_walk,category_c4,ui.event.circuitWalk,common,ui.eventBody.circuitWalk
event_rival_data,category_c4,ui.event.rivalData,common,ui.eventBody.rivalData
event_grid_rumor,category_c4,ui.event.gridRumor,common,ui.eventBody.gridRumor
event_grid_nightscape,category_c5,ui.event.gridNightscape,common,ui.eventBody.gridNightscape
event_fan_letter,category_c5,ui.event.fanLetter,common,ui.eventBody.fanLetter
event_old_poster,category_c5,ui.event.oldPoster,common,ui.eventBody.oldPoster
event_vane_question,category_c5,ui.event.vaneQuestion,common,ui.eventBody.vaneQuestion
event_mn_night_market,category_c2,ui.event.mnNightMarket,stage,ui.eventBody.mnNightMarket
event_mn_local_broadcast,category_c3,ui.event.mnLocalBroadcast,stage,ui.eventBody.mnLocalBroadcast
event_mn_repair_alley,category_c1,ui.event.mnRepairAlley,stage,ui.eventBody.mnRepairAlley
event_mn_neon_festival,category_c5,ui.event.mnNeonFestival,stage,ui.eventBody.mnNeonFestival
event_ac_wind_warning,category_c4,ui.event.acWindWarning,stage,ui.eventBody.acWindWarning
event_ac_resort_sponsor,category_c2,ui.event.acResortSponsor,stage,ui.eventBody.acResortSponsor
event_ac_beach_encounter,category_c3,ui.event.acBeachEncounter,stage,ui.eventBody.acBeachEncounter
event_ac_salt_wash,category_c1,ui.event.acSaltWash,stage,ui.eventBody.acSaltWash
event_ar_altitude_check,category_c4,ui.event.arAltitudeCheck,stage,ui.eventBody.arAltitudeCheck
event_ar_lodge_rest,category_c1,ui.event.arLodgeRest,stage,ui.eventBody.arLodgeRest
event_ar_old_pass,category_c3,ui.event.arOldPass,stage,ui.eventBody.arOldPass
event_ar_rescue_cheer,category_c5,ui.event.arRescueCheer,stage,ui.eventBody.arRescueCheer
event_mf_sandstorm_warning,category_c4,ui.event.mfSandstormWarning,stage,ui.eventBody.mfSandstormWarning
event_mf_oasis_camp,category_c1,ui.event.mfOasisCamp,stage,ui.eventBody.mfOasisCamp
event_mf_documentary,category_c2,ui.event.mfDocumentary,stage,ui.eventBody.mfDocumentary
event_mf_mirage_sighting,category_c5,ui.event.mfMirageSighting,stage,ui.eventBody.mfMirageSighting
event_pd_media_day,category_c3,ui.event.pdMediaDay,stage,ui.eventBody.pdMediaDay
event_pd_league_gala,category_c3,ui.event.pdLeagueGala,stage,ui.eventBody.pdLeagueGala
event_pd_ceremony_rehearsal,category_c5,ui.event.pdCeremonyRehearsal,stage,ui.eventBody.pdCeremonyRehearsal
event_pd_pit_walk,category_c1,ui.event.pdPitWalk,stage,ui.eventBody.pdPitWalk
