id,name_key,kind,effect,effect_value,drawback,drawback_value,effect_name_key,effect_unit,drawback_name_key,drawback_unit
overhaul_ov_t1,ui.overhaul.ovT1,trait,stable_sector_charge,2,,0,ui.stat.stableSectorCharge,replace,,
overhaul_ov_t2,ui.overhaul.ovT2,trait,hold_twice_per_turn,2,,0,ui.stat.holdPerTurn,replace,,
overhaul_ov_t3,ui.overhaul.ovT3,trait,gp_start_charge,2,,0,ui.stat.gpStartCharge,flat,,
overhaul_ov_t4,ui.overhaul.ovT4,trait,final_lap_gauge_mult,1.35,,0,ui.stat.finalLapGauge,mult,,
overhaul_ov_s1,ui.overhaul.ovS1,sidegrade,front_gauge_ratio,0.08,chassis_max,-10,ui.stat.frontGauge,ratio,ui.stat.chassisMax,flat
overhaul_ov_s2,ui.overhaul.ovS2,sidegrade,trouble_chassis_wear,-0.20,front_gauge_ratio,-0.05,ui.stat.troubleChassisWear,ratio,ui.stat.frontGauge,ratio
overhaul_ov_s3,ui.overhaul.ovS3,sidegrade,duel_judgment,8,rear_pressure_ratio,0.10,ui.stat.duelJudgment,flat,ui.stat.rearPressure,ratio
overhaul_ov_s4,ui.overhaul.ovS4,sidegrade,free_restore_line,80,pulse_charge_yield,-1,ui.stat.freeRestoreLine,replace,ui.stat.pulseChargeYield,flat
overhaul_ov_p1,ui.overhaul.ovP1,part,slipstream_coef,0.10,,0,ui.stat.slipstreamCoef,ratio,,
overhaul_ov_p2,ui.overhaul.ovP2,part,braking_coef,0.10,,0,ui.stat.brakingCoef,ratio,,
overhaul_ov_p3,ui.overhaul.ovP3,part,charge_cap,12,,0,ui.stat.chargeCap,replace,,
overhaul_ov_p4,ui.overhaul.ovP4,part,chassis_max,15,,0,ui.stat.chassisMax,flat,,
