id,cut_id,slot_name,slot_order,sprite,anchor_x,anchor_road_y
scm_basic_solo_self,cut_basic_solo,self,1,nw01_boreas_base_s1_side,204,81
scm_basic_group_lead,cut_basic_group,lead,1,vh8_behemoth_base_side,344,75
scm_basic_group_mid,cut_basic_group,mid,2,gm12_paladin_base_side,274,78
scm_basic_group_tail,cut_basic_group,tail,3,nw01_boreas_base_s1_side,204,82
scm_overtake_passed,cut_overtake,passed,1,ax9_theorem_base_side,284,75
scm_overtake_passer,cut_overtake,passer,2,nw01_boreas_base_s1_side,204,82
scm_defense_blocker,cut_defense,blocker,1,gm12_paladin_base_side,332,81
scm_defense_chaser,cut_defense,chaser,2,nw01_boreas_base_s1_side,204,81
scm_close_battle_outside,cut_close_battle,outside,1,ax9_theorem_base_side,268,75
scm_close_battle_inside,cut_close_battle,inside,2,nw01_boreas_base_s1_side,172,82
scm_duel_standoff_rival,cut_duel_standoff,rival,1,ax9_theorem_base_side,268,81
scm_duel_standoff_self,cut_duel_standoff,self,2,nw01_boreas_base_s1_side,140,81
scm_start_p3_far_back,cut_start,p3_far_back,1,gm12_paladin_base_side,204,76
scm_start_p1_far_front,cut_start,p1_far_front,2,vh8_behemoth_base_side,332,76
scm_start_p4_near_back,cut_start,p4_near_back,3,priv_common_base_side,140,82
scm_start_p2_near_front,cut_start,p2_near_front,4,ax9_theorem_base_side,268,82
