id,event_id,sfx_id,channel,priority,haptic,seal_gated,retrigger_param
sound_reel_spin_start,reel_spin_start,SE-R01,sfx,P3,none,0,
sound_reel_spin_loop,reel_spin_loop,SE-R02,sfx,P3,none,0,
sound_reel_stop,reel_stop,SE-R03,sfx,P3,none,0,
sound_reel_match_two,reel_match_two,SE-R04,sfx,P2,none,1,
sound_reel_match_three,reel_match_three,SE-R05,sfx,P2,none,1,
sound_intervention_open,intervention_open,SE-I01,sfx,P3,none,0,
sound_hold_on,hold_on,SE-I02,sfx,P3,none,0,
sound_hold_off,hold_off,SE-I03,sfx,P3,none,0,
sound_respin,respin,SE-I04,sfx,P3,none,0,
sound_skill_hold,skill_hold,SE-I05,sfx,P3,none,0,
sound_skill_convert,skill_convert,SE-I06,sfx,P3,none,0,
sound_skill_amplify,skill_amplify,SE-I07,sfx,P3,none,0,
sound_skill_insure,skill_insure,SE-I08,sfx,P3,none,0,
sound_charge_intervene,charge_intervene,SE-I09,sfx,P2,none,0,
sound_confirm,confirm,SE-I10,sfx,P3,micro,0,
sound_momentum_bonus,momentum_bonus,SE-I11,sfx,P2,none,0,
sound_timeout,timeout,SE-I12,sfx,P3,none,0,
sound_charge_gain,charge_gain,SE-I13,sfx,P2,none,0,
sound_input_rejected,input_rejected,SE-I14,sfx,P3,none,0,
sound_timer_warning,timer_enter_warning,SE-T01,sfx,P1,none,0,
sound_timer_imminent,timer_enter_imminent,SE-T02,sfx,P1,micro,0,
sound_timer_tick,timer_imminent_tick,SE-T03,sfx,P1,none,0,
sound_result_advance,result_advance,SE-E01,sfx,P2,none,1,
sound_result_defend,result_defend,SE-E02,sfx,P2,none,1,
sound_result_stable,result_stable,SE-E03,sfx,P2,none,1,
sound_result_trouble,result_trouble,SE-E04,sfx,P2,strong,1,
sound_result_neutral,result_neutral,SE-E05,sfx,P2,none,1,
sound_result_chance,result_chance,SE-E06,sfx,P2,none,1,
sound_grade_l1,grade_l1,SE-L1,sfx,P2,weak,1,
sound_grade_l2,grade_l2,SE-L2,sfx,P2,strong,1,
sound_grade_l3,grade_l3,SE-L3,sfx,P2,strong,1,
sound_resonance_announce,resonance_announce,SE-RS1,sfx,P1,none,0,
sound_duel_warning,duel_warning,SE-D01,sfx,P1,none,0,
sound_duel_enter,duel_enter,SE-D02,sfx,P2,mid,0,
sound_boost_spend,boost_spend,SE-D03,sfx,P2,none,0,
sound_duel_win,duel_win,SE-D04,sfx,P2,strong,0,
sound_duel_lose,duel_lose,SE-D05,sfx,P2,strong,0,
sound_chassis_warning,chassis_warning,SE-D06,sfx,P1,micro,0,
sound_retire,retire,SE-D07,sfx,P2,strong,0,
sound_ui_cursor,ui_cursor,SE-U01,sfx,P3,none,0,
sound_ui_decide,ui_decide,SE-U02,sfx,P3,none,0,
sound_ui_cancel,ui_cancel,SE-U03,sfx,P3,none,0,
sound_ui_tab,ui_tab,SE-U04,sfx,P3,none,0,
sound_ui_toggle,ui_toggle,SE-U05,sfx,P3,none,0,
sound_station_enter,station_enter,SE-U06,sfx,P3,none,0,
sound_purchase,purchase,SE-U07,sfx,P3,none,0,
sound_sell,sell,SE-U08,sfx,P3,none,0,
sound_tuning_install,tuning_install,SE-U09,sfx,P3,none,0,
sound_repair_execute,repair_execute,SE-U10,sfx,P3,none,0,
sound_crew_join,crew_join,SE-U11,sfx,P3,none,0,
sound_skill_unlock,skill_unlock,SE-U12,sfx,P3,none,0,
sound_growth_gate_open,growth_gate_open,SE-U13,sfx,P3,none,0,
sound_overhaul_install,overhaul_install,SE-U14,sfx,P3,none,0,
sound_settle_rollup,settle_rollup,SE-U15,sfx,P3,none,0,
sound_rank_stamp,rank_stamp,SE-U16,sfx,P2,none,0,
sound_achievement_get,achievement_get,SE-U17,sfx,P2,none,0,
sound_gp_start,gp_start,SE-U18,sfx,P2,none,0,
sound_gp_finish,gp_finish,SE-U19,sfx,P2,none,0,
sound_vane_cue_stage1,vane_cue_stage1,SE-V01a,sfx,P3,none,0,
sound_vane_cue_stage2,vane_cue_stage2,SE-V01b,sfx,P3,none,0,
sound_vane_cue_stage3,vane_cue_stage3,SE-V01c,sfx,P3,none,0,
sound_speaker_cue,speaker_cue,SE-V02,sfx,P3,none,0,
sound_choice_shown,choice_shown,SE-V03,sfx,P3,none,0,
sound_amb_crowd_bed,race_stage_enter,AMB-01,sfx,P3,none,0,
sound_amb_cheer_advance,result_advance,AMB-02,sfx,P3,none,1,param_cheer_retrigger_sec
sound_amb_cheer_finish,gp_finish,AMB-03,sfx,P3,none,0,
sound_amb_garage_room,hub_enter,AMB-04,sfx,P3,none,0,
sound_amb_final_bed,stage_pulse_dome_enter,AMB-05,sfx,P3,none,0,
sound_bgm_title,title_enter,BGM-01,bgm,P3,none,0,
sound_bgm_garage,hub_enter,BGM-02,bgm,P3,none,0,
sound_bgm_stage1,stage_metro_night_enter,BGM-03,bgm,P3,none,0,
sound_bgm_stage2,stage_azure_coast_enter,BGM-04,bgm,P3,none,0,
sound_bgm_stage3,stage_alta_ridge_enter,BGM-05,bgm,P3,none,0,
sound_bgm_stage4,stage_mirage_flat_enter,BGM-06,bgm,P3,none,0,
sound_bgm_stage5,stage_pulse_dome_enter,BGM-07,bgm,P3,none,0,
sound_bgm_gp_result,gp_result_enter,BGM-08,bgm,P3,none,0,
sound_bgm_vn_calm,vn_enter_calm,BGM-09,bgm,P3,none,0,
sound_bgm_vn_tense,vn_enter_tense,BGM-10,bgm,P3,none,0,
sound_bgm_season_result,season_result_enter,BGM-11,bgm,P3,none,0,
sound_bgm_true_ending,true_ending_enter,BGM-12,bgm,P3,none,0,
sound_bgm_epilogue,epilogue_enter,BGM-13,bgm,P3,none,0,
sound_jg_result_high,gp_result_high,JG-01,jingle,P2,none,0,
sound_jg_result_low,gp_result_low,JG-02,jingle,P2,none,0,
sound_jg_retire,retire,JG-03,jingle,P2,none,0,
sound_jg_season_champion,season_champion,JG-04,jingle,P2,none,0,
sound_jg_title_award,title_award,JG-05,jingle,P2,none,0,
