id,symbol_id,match_count,front_gauge,rear_gauge,charge,chassis,special
match_slipstream_1,symbol_slipstream,1,24,0,0,0,
match_slipstream_2,symbol_slipstream,2,56,0,0,0,
match_slipstream_3,symbol_slipstream,3,95,0,0,0,
match_braking_1,symbol_braking,1,0,-24,0,0,
match_braking_2,symbol_braking,2,0,-56,0,0,
match_braking_3,symbol_braking,3,0,-95,0,0,
match_line_1,symbol_line,1,11,-11,0,0,
match_line_2,symbol_line,2,22,-22,0,0,
match_line_3,symbol_line,3,36,-36,0,0,
match_pulse_1,symbol_pulse,1,0,0,1,0,
match_pulse_2,symbol_pulse,2,0,0,2,0,
match_pulse_3,symbol_pulse,3,0,0,4,0,
match_trouble_1,symbol_trouble,1,0,12,0,-6,
match_trouble_2,symbol_trouble,2,0,28,0,-14,
match_trouble_3,symbol_trouble,3,0,48,0,-24,
match_chance_1,symbol_chance,1,40,0,0,0,
match_chance_2,symbol_chance,2,80,0,0,0,
match_chance_3,symbol_chance,3,0,0,0,0,duel_trigger
