id,source_act_vn,source_beat,backdrop,vn_id_prefix
vnbg_act1,vn_act1,,garage_h,
vnbg_act2,vn_act2,,vn_paddock,
vnbg_act3,vn_act3,,garage_h,
vnbg_act4,vn_act4,,garage_h,
vnbg_origin,vn_origin,,garage_h,
vnbg_epilogue,vn_epilogue,,garage_h,
vnbg_season_open,,vnbeat_season_open,garage_h,vn_season_open
vnbg_season_close,,vnbeat_season_close,garage_h,vn_season_close
vnbg_reunion_alta,,vnbeat_reunion_alta,vn_trackside,
vnbg_crew_nadia,,vnbeat_crew_nadia,vn_paddock,
vnbg_crew_oscar,,vnbeat_crew_oscar,garage_h,
vnbg_crew_sasha,,vnbeat_crew_sasha,garage_h,
vnbg_clue_locked,,vnbeat_clue_locked,garage_h,
vnbg_clue_silence,,vnbeat_clue_silence,vn_trackside,
vnbg_feat_finish,,vnbeat_feat_finish,vn_paddock,
vnbg_feat_point,,vnbeat_feat_point,vn_paddock,
vnbg_feat_tourwin,,vnbeat_feat_tourwin,vn_paddock,
