id,beat_id,line_order,speaker_key,text_key
vnbline_reunion_alta_1,vnbeat_reunion_alta,1,ui.vn.speakerNarration,vn.reunion.beat01
vnbline_reunion_alta_2,vnbeat_reunion_alta,2,ui.vn.speakerTheo,vn.reunion.beat02
vnbline_reunion_alta_3,vnbeat_reunion_alta,3,ui.vn.speakerMarta,vn.reunion.beat03
vnbline_reunion_alta_4,vnbeat_reunion_alta,4,ui.vn.speakerTheo,vn.reunion.beat04
vnbline_reunion_alta_5,vnbeat_reunion_alta,5,ui.vn.speakerMarta,vn.reunion.beat05
vnbline_season_open_1,vnbeat_season_open,1,ui.vn.speakerNarration,vn.seasonOpen.beat01
vnbline_season_open_2,vnbeat_season_open,2,ui.vn.speakerTheo,vn.seasonOpen.beat02
vnbline_season_open_3,vnbeat_season_open,3,ui.vn.speakerMarta,vn.seasonOpen.beat03
vnbline_season_close_1,vnbeat_season_close,1,ui.vn.speakerNarration,vn.seasonClose.beat01
vnbline_season_close_2,vnbeat_season_close,2,ui.vn.speakerTheo,vn.seasonClose.beat02
vnbline_season_close_3,vnbeat_season_close,3,ui.vn.speakerMarta,vn.seasonClose.beat03
vnbline_crew_nadia_1,vnbeat_crew_nadia,1,ui.vn.speakerNarration,vn.crewNadia.beat01
vnbline_crew_nadia_2,vnbeat_crew_nadia,2,ui.vn.speakerNadia,vn.crewNadia.beat02
vnbline_crew_nadia_3,vnbeat_crew_nadia,3,ui.vn.speakerNadia,vn.crewNadia.beat03
vnbline_crew_nadia_4,vnbeat_crew_nadia,4,ui.vn.speakerMarta,vn.crewNadia.beat04
vnbline_crew_nadia_5,vnbeat_crew_nadia,5,ui.vn.speakerNadia,vn.crewNadia.beat05
vnbline_crew_nadia_6,vnbeat_crew_nadia,6,ui.vn.speakerTheo,vn.crewNadia.beat06
vnbline_crew_nadia_7,vnbeat_crew_nadia,7,ui.vn.speakerNadia,vn.crewNadia.beat07
vnbline_crew_nadia_8,vnbeat_crew_nadia,8,ui.vn.speakerNadia,vn.crewNadia.beat08
vnbline_crew_nadia_9,vnbeat_crew_nadia,9,ui.vn.speakerMarta,vn.crewNadia.beat09
vnbline_crew_oscar_1,vnbeat_crew_oscar,1,ui.vn.speakerNarration,vn.crewOscar.beat01
vnbline_crew_oscar_2,vnbeat_crew_oscar,2,ui.vn.speakerOscar,vn.crewOscar.beat02
vnbline_crew_oscar_3,vnbeat_crew_oscar,3,ui.vn.speakerMarta,vn.crewOscar.beat03
vnbline_crew_oscar_4,vnbeat_crew_oscar,4,ui.vn.speakerOscar,vn.crewOscar.beat04
vnbline_crew_oscar_5,vnbeat_crew_oscar,5,ui.vn.speakerOscar,vn.crewOscar.beat05
vnbline_crew_oscar_6,vnbeat_crew_oscar,6,ui.vn.speakerTheo,vn.crewOscar.beat06
vnbline_crew_oscar_7,vnbeat_crew_oscar,7,ui.vn.speakerOscar,vn.crewOscar.beat07
vnbline_crew_oscar_8,vnbeat_crew_oscar,8,ui.vn.speakerOscar,vn.crewOscar.beat08
vnbline_crew_oscar_9,vnbeat_crew_oscar,9,ui.vn.speakerMarta,vn.crewOscar.beat09
vnbline_crew_sasha_1,vnbeat_crew_sasha,1,ui.vn.speakerNarration,vn.crewSasha.beat01
vnbline_crew_sasha_2,vnbeat_crew_sasha,2,ui.vn.speakerMarta,vn.crewSasha.beat02
vnbline_crew_sasha_3,vnbeat_crew_sasha,3,ui.vn.speakerSasha,vn.crewSasha.beat03
vnbline_crew_sasha_4,vnbeat_crew_sasha,4,ui.vn.speakerNarration,vn.crewSasha.beat04
vnbline_crew_sasha_5,vnbeat_crew_sasha,5,ui.vn.speakerSasha,vn.crewSasha.beat05
vnbline_crew_sasha_6,vnbeat_crew_sasha,6,ui.vn.speakerMarta,vn.crewSasha.beat06
vnbline_crew_sasha_7,vnbeat_crew_sasha,7,ui.vn.speakerSasha,vn.crewSasha.beat07
vnbline_crew_sasha_8,vnbeat_crew_sasha,8,ui.vn.speakerSasha,vn.crewSasha.beat08
vnbline_crew_sasha_9,vnbeat_crew_sasha,9,ui.vn.speakerSasha,vn.crewSasha.beat09
vnbline_crew_sasha_10,vnbeat_crew_sasha,10,ui.vn.speakerMarta,vn.crewSasha.beat10
vnbline_clue_locked_1,vnbeat_clue_locked,1,ui.vn.speakerNarration,vn.clueLocked.beat01
vnbline_clue_locked_2,vnbeat_clue_locked,2,ui.vn.speakerTheo,vn.clueLocked.beat02
vnbline_clue_locked_3,vnbeat_clue_locked,3,ui.vn.speakerMarta,vn.clueLocked.beat03
vnbline_clue_locked_4,vnbeat_clue_locked,4,ui.vn.speakerTheo,vn.clueLocked.beat04
vnbline_clue_locked_5,vnbeat_clue_locked,5,ui.vn.speakerTheo,vn.clueLocked.beat05
vnbline_clue_silence_1,vnbeat_clue_silence,1,ui.vn.speakerNarration,vn.clueSilence.beat01
vnbline_clue_silence_2,vnbeat_clue_silence,2,ui.vn.speakerTheo,vn.clueSilence.beat02
vnbline_clue_silence_3,vnbeat_clue_silence,3,ui.vn.speakerSasha,vn.clueSilence.beat03
vnbline_clue_silence_4,vnbeat_clue_silence,4,ui.vn.speakerNarration,vn.clueSilence.beat04
vnbline_clue_silence_5,vnbeat_clue_silence,5,ui.vn.speakerMarta,vn.clueSilence.beat05
vnbline_feat_finish_1,vnbeat_feat_finish,1,ui.vn.speakerNarration,vn.featFinish.beat01
vnbline_feat_finish_2,vnbeat_feat_finish,2,ui.vn.speakerTheo,vn.featFinish.beat02
vnbline_feat_finish_3,vnbeat_feat_finish,3,ui.vn.speakerMarta,vn.featFinish.beat03
vnbline_feat_finish_4,vnbeat_feat_finish,4,ui.vn.speakerTheo,vn.featFinish.beat04
vnbline_feat_finish_5,vnbeat_feat_finish,5,ui.vn.speakerMarta,vn.featFinish.beat05
vnbline_feat_finish_6,vnbeat_feat_finish,6,ui.vn.speakerVane,vn.featFinish.beat06
vnbline_feat_finish_7,vnbeat_feat_finish,7,ui.vn.speakerMarta,vn.featFinish.beat07
vnbline_feat_finish_8,vnbeat_feat_finish,8,ui.vn.speakerTheo,vn.featFinish.beat08
vnbline_feat_point_1,vnbeat_feat_point,1,ui.vn.speakerNarration,vn.featPoint.beat01
vnbline_feat_point_2,vnbeat_feat_point,2,ui.vn.speakerTheo,vn.featPoint.beat02
vnbline_feat_point_3,vnbeat_feat_point,3,ui.vn.speakerMarta,vn.featPoint.beat03
vnbline_feat_point_4,vnbeat_feat_point,4,ui.vn.speakerVane,vn.featPoint.beat04
