id,axis_id,slot_id,stage_id,min_stage,max_stage,line_count,tone,title_key,milestone_class
vnbeat_reunion_alta,relation_reunion,vnslot_tour_brief,stage_alta_ridge,0,0,5,,,
vnbeat_season_open,,vnslot_season_open,,0,0,3,calm,,
vnbeat_season_close,,vnslot_season_close,,0,0,3,calm,,
vnbeat_crew_nadia,,vnslot_tour_milestone,,0,0,9,calm,,mvn_crew_join
vnbeat_crew_oscar,,vnslot_tour_milestone,,0,0,9,calm,,mvn_crew_join
vnbeat_crew_sasha,,vnslot_tour_milestone,,0,0,10,calm,,mvn_crew_join
vnbeat_clue_locked,,vnslot_tour_milestone,,0,0,5,calm,,mvn_origin_clue
vnbeat_clue_silence,,vnslot_tour_milestone,,0,0,5,calm,,mvn_origin_clue
vnbeat_feat_finish,,vnslot_tour_milestone,,0,0,8,calm,,mvn_general_feat
vnbeat_feat_point,,vnslot_tour_milestone,,0,0,8,calm,,mvn_general_feat
vnbeat_feat_tourwin,,vnslot_tour_milestone,,0,0,8,calm,,mvn_general_feat
